"2022-01-14_15h17m24s-t7-init-series-concentration-measure-1",,,,,,,,,,,
"Lane","Band No.","Band Label","Mol. Wt. (KDa)","Relative Front","Adj. Volume (Int)","Volume (Int)","Abs. Quant.","Rel. Quant.","Band %","Lane %"
"1","1","","N/A","0.346983","429692","897124","N/A","0.548001","37.528210","13.613840"
"1","2","","N/A","0.452586","715292","1198364","N/A","0.912237","62.471790","22.662444"
"2","1","","N/A","0.346983","1518644","2272628","N/A","1.936779","42.600717","33.519947"
"2","2","","N/A","0.452586","2046188","2747064","N/A","2.609574","57.399283","45.164050"
"3","1","","N/A","0.344828","1328856","2108408","N/A","1.694736","34.960106","12.329260"
"3","2","","N/A","0.448276","2472208","3325336","N/A","3.152892","65.039894","22.937395"
"4","1","","N/A","0.346983","5223420","6567984","N/A","6.661608","72.916172","50.300895"
"4","2","","N/A","0.441810","1940176","2666960","N/A","2.474373","27.083828","18.683657"
"5","1","","N/A","0.336207","538288","1123088","N/A","0.686497","38.356430","11.280692"
"5","2","","N/A","0.443966","865096","1469956","N/A","1.103287","61.643570","18.129480"
"6","1","","N/A","0.338362","691492","1462000","N/A","0.881884","19.598736","11.191820"
"6","2","","N/A","0.446121","2836756","3681724","N/A","3.617813","80.401264","45.912988"
"7","1","","N/A","0.342672","3922988","4953868","N/A","5.003122","78.420738","57.807772"
"7","2","","N/A","0.446121","1079500","1644988","N/A","1.376724","21.579262","15.907132"
"8","1","","N/A","0.344828","4290324","5382608","N/A","5.471598","77.635724","55.887928"
"8","2","","N/A","0.443966","1235900","1811928","N/A","1.576186","22.364276","16.099458"
"9","1","","N/A","0.334052","869924","1434596","N/A","1.109444","36.948360","22.614860"
"9","2","","N/A","0.446121","1484508","2087736","N/A","1.893244","63.051640","38.591808"
"10","1","","N/A","0.331897","803692","1276360","N/A","1.024976","66.597171","48.363205"
"10","2","","N/A","0.446121","403104","822732","N/A","0.514092","33.402829","24.257304"
"11","1","","N/A","0.336207","386512","774384","N/A","0.492932","24.093934","13.933080"
"11","2","","N/A","0.448276","1217676","1718292","N/A","1.552944","75.906066","43.895085"
"12","1","","N/A","0.346983","785332","1272212","N/A","1.001561","23.236957","12.290093"
"12","2","","N/A","0.452586","2594336","3293648","N/A","3.308646","76.763043","40.600192"
"13","1","","N/A","0.355603","923440","1454792","N/A","1.177695","36.191136","10.029542"
"13","2","","N/A","0.456897","1628124","2266032","N/A","2.076403","63.808864","17.683161"
"14","1","","N/A","0.359914","2548300","3321460","N/A","3.249935","67.214908","50.115677"
"14","2","","N/A","0.463362","1242972","1792820","N/A","1.585205","32.785092","24.444682"
"15","1","","N/A","0.232759","356456","686188","N/A","0.454601","6.743336","6.330153"
"15","2","","N/A","0.252155","265404","486472","N/A","0.338479","5.020840","4.713199"
"15","3","","N/A","0.286638","784108","1249228","N/A","1.000000","14.833539","13.924647"
"15","4","","N/A","0.308190","193936","494360","N/A","0.247333","3.668828","3.444028"
"15","5","","N/A","0.346983","284988","674152","N/A","0.363455","5.391324","5.060983"
"15","6","","N/A","0.370690","284376","539104","N/A","0.362675","5.379747","5.050115"
"15","7","","N/A","0.394397","751332","1153212","N/A","0.958200","14.213492","13.342591"
"15","8","","N/A","0.426724","227732","549916","N/A","0.290434","4.308171","4.044198"
"15","9","","N/A","0.471983","253708","679184","N/A","0.323563","4.799578","4.505495"
"15","10","","N/A","0.525862","294508","746300","N/A","0.375596","5.571421","5.230045"
"15","11","","N/A","0.599138","762824","1255212","N/A","0.972856","14.430894","13.546673"
"15","12","","N/A","0.646552","285872","650896","N/A","0.364582","5.408048","5.076682"
"15","13","","N/A","0.702586","279344","690744","N/A","0.356257","5.284553","4.960754"
"15","14","","N/A","0.773707","261460","653276","N/A","0.333449","4.946228","4.643159"
